"key","hi"
"TOTAL_TIME","कुल समय"
"DISCLAIMER1","यह एक मुफ्त फैनगेम है।\n\nयह Capcom या उसकी किसी भी सहायक कंपनी से संबद्ध, अधिकृत, समर्थित या किसी भी तरह से आधिकारिक रूप से जुड़ा नहीं है।\n\nMega Man X, Capcom की संपत्ति है।\nकृपया आधिकारिक रिलीज़ का समर्थन करें!"
"MADE_BY","एक व्यक्ति की परियोजना"
"INSPIRED_BY","से प्रेरित"
"SPECIALTHANKSTEXT","यह मॉड Zashiko द्वारा बनाया गया था\n\nऔर pirate द्वारा डीकंपाइल किया गया\nप्रोजेक्ट क्लीनअप: Rafael Setragni & Claude (AI)\n\nमॉड के सभी योगदानकर्ताओं और परीक्षकों को विशेष धन्यवाद।\nपुनः अनुवाद: ElevenSSF2 (Mint)"
"16-BIT_TITLE","16-bit"
"OPTIONS_START","विकल्प मोड"
"KEYCFG_START","कुंजी विन्यास"
"GAME_START","गेम शुरू करें"
"GAME_START_NORMAL","सामान्य मोड"
"GAME_START_ROOKIE","नौसिखिया मोड"
"GAME_START_HARD","कठिन मोड"
"GAME_START_INSANITY","पागलपन मोड"
"GAME_START_NINJA","NINJA GAIDEN मोड"
"LOAD_GAME","गेम लोड करें"
"ON_VALUE","चालू"
"ON_VALUE_B","वैकल्पिक"
"OFF_VALUE","बंद"
"EXIT_BUTTON","बाहर"
"ARMORSETUP_TITLE","आर्मर सेटअप"
"LOADOUT_DISC","अपना लोडआउट चुनें।"
"DEFAULTHEAD_NAME","डिफ़ॉल्ट हेड"
"DEFAULTHEAD_DISC","डिफ़ॉल्ट पार्ट।"
"DEFAULTBODY_NAME","डिफ़ॉल्ट बॉडी"
"DEFAULTBODY_DISC","डिफ़ॉल्ट पार्ट।"
"DEFAULTARMS_NAME","डिफ़ॉल्ट बस्टर"
"DEFAULTARMS_DISC","डिफ़ॉल्ट पार्ट।"
"DEFAULTLEGS_NAME","डिफ़ॉल्ट फुट"
"DEFAULTLEGS_DISC","डिफ़ॉल्ट पार्ट। एयर डैश कर सकता है।"
"HERMESHEAD_NAME","हेड पार्ट्स H"
"HERMESHEAD_DISC","बस्टर शॉट तेज़ी से चार्ज होता है।"
"HERMESBODY_NAME","बॉडी पार्ट्स H"
"HERMESBODY_DISC","बस्टर हिट से हुई क्षति ठीक होती है।"
"HERMESARMS_NAME","बस्टर पार्ट्स H"
"HERMESARMS_DISC","हथियार शॉट्स गोला-बारूद खर्च नहीं करते।"
"HERMESLEGS_NAME","फुट पार्ट्स H"
"HERMESLEGS_DISC","डैश के दौरान अजेयता।"
"ICARUSHEAD_NAME","हेड पार्ट्स I"
"ICARUSHEAD_DISC","कूदते समय नुकसान पहुँचाने वाला क्षेत्र बनाता है।"
"ICARUSBODY_NAME","बॉडी पार्ट्स I"
"ICARUSBODY_DISC","नॉकबैक से प्रतिरक्षा।"
"ICARUSARMS_NAME","बस्टर पार्ट्स I"
"ICARUSARMS_DISC","चार्ज शॉट्स गोला-बारूद खर्च नहीं करते।"
"ICARUSLEGS_NAME","फुट पार्ट्स I"
"ICARUSLEGS_DISC","ऊँची कूद और डबल एयर डैश।"
"ULTIMATEHEAD_NAME","हेड पार्ट्स U"
"ULTIMATEHEAD_DISC","कूद में नुकसान क्षेत्र और तेज़ चार्ज।"
"ULTIMATEBODY_NAME","बॉडी पार्ट्स U"
"ULTIMATEBODY_DISC","नॉकबैक नहीं और बस्टर से क्षति ठीक होती है।"
"ULTIMATEARMS_NAME","अल्टीमेट बस्टर"
"ULTIMATEARMS_DISC","शॉट्स गोला-बारूद खर्च नहीं करते।"
"ULTIMATELEGS_NAME","फुट पार्ट्स U"
"ULTIMATELEGS_DISC","बेहतर गतिशीलता और अजेय डैश।"
"AXLNORMAL_NAME","स्टैंडर्ड आर्मर"
"AXLNORMAL_DISC","विशेष क्षमताओं के बिना।"
"AXLWHITE_NAME","???"
"AXLWHITE_DISC","समग्र बफ़।"
"TANK_ABV","सब.टी"
"OPTIONS_ABV","विकल्प"
"KEYCFG_ABV","कुंजी"
"ACHIEV_ABV","उपलब्धि"
"X_WPNMENU","X. बस्टर"
"SUNFLOWER_WPNMENU","O. शील्ड"
"ANTONION_WPNMENU","S. बम"
"MANTIS_WPNMENU","D. एरो"
"MANOWAR_WPNMENU","T. डांसर"
"PANDA_WPNMENU","B. लॉन्चर"
"TRILOBYTE_WPNMENU","C. बाउंसर"
"YETI_WPNMENU","D. डायमंड"
"ROOSTER_WPNMENU","F. डैश"
"AXL_WPNMENU","Axl बुलेट"
"SUNFLOWER_AXL_WPNMENU","Ray Gun"
"ANTONION_AXL_WPNMENU","Spiral Magnum"
"MANTIS_AXL_WPNMENU","Black Arrow"
"MANOWAR_AXL_WPNMENU","Plasma Gun"
"PANDA_AXL_WPNMENU","Blast Launcher"
"TRILOBYTE_AXL_WPNMENU","Bound Blaster"
"YETI_AXL_WPNMENU","Ice Gattling"
"ROOSTER_AXL_WPNMENU","Flame Burner"
"SUNFLOWER_ZERO_WPNMENU","Tenshouha"
"ANTONION_ZERO_WPNMENU","Juuhazan"
"MANTIS_ZERO_WPNMENU","Rasetsusen"
"MANOWAR_ZERO_WPNMENU","Raikousen"
"PANDA_ZERO_WPNMENU","Youdantotsu"
"TRILOBYTE_ZERO_WPNMENU","Rekkyoudan"
"YETI_ZERO_WPNMENU","Hyouryuushou"
"ROOSTER_ZERO_WPNMENU","Enkoujin"
"SUNFLOWER_ZERO_DISC","नीचे + शॉट 2"
"ANTONION_ZERO_DISC","शॉट 2"
"MANTIS_ZERO_DISC","शॉट 2 (हवा)"
"MANOWAR_ZERO_DISC","डैश + शॉट 2"
"PANDA_ZERO_DISC","बाएँ/दाएँ + शॉट 2"
"TRILOBYTE_ZERO_DISC","निष्क्रिय"
"YETI_ZERO_DISC","ऊपर + शॉट 2"
"ROOSTER_ZERO_DISC","नीचे + शॉट 2 (हवा)"
"ZERO_WPNMENU","Z-Saber"
"BFAN_WPNMENU","B-Fan"
"DGLAIVE_WPNMENU","D-Glaive"
"TBREAKER_WPNMENU","T-Breaker"
"KKNUCKLE_WPNMENU","K-Knuckle"
"VHANGER_WPNMENU","V-Hanger"
"SIGMABLADE_WPNMENU","Sigma-Blade"
"YOUGOT_TITLE","आपको मिला"
"SUNFLOWER_WEAPON","Optic Shield"
"ANTONION_WEAPON","Squeeze Bomb"
"MANTIS_WEAPON","Dark Arrow"
"MANOWAR_WEAPON","Thunder Dancer"
"PANDA_WEAPON","Blast Launcher"
"TRILOBYTE_WEAPON","Crystal Bouncer"
"YETI_WEAPON","Drift Diamond"
"ROOSTER_WEAPON","Fire Dash"
"OPTIONS_TITLE","विकल्प"
"LANGUAGE_OPTION","भाषा"
"BOSS_REMIX_OPTION","बॉस रीमिक्स"
"REMIX_OPTION","16-bit रीमिक्स"
"DT_DASH_OPTION","डबल टैप डैश"
"SKIP_DIAG_OPTION","छोड़ने योग्य संवाद"
"CHARGE_OPTION","चार्ज फेड आउट"
"ACHIEV_OPTION","उपलब्धियाँ दिखाएँ"
"MUSIC_OPTION","संगीत वॉल्यूम"
"SOUND_OPTION","ध्वनि वॉल्यूम"
"VSync","VSync"
"FPS_OPTION","लक्ष्य FPS"
"FPS_PHYSICS_OPTION","फ़िज़िक्स FPS"
"FPS_UNCAPPED","असीमित"
"WSIZE_OPTION","विंडो आकार"
"FULLSCREEN_OPTION","पूर्ण स्क्रीन"
"STRETCH_OPTION","स्ट्रेच मोड"
"STRETCH_OPTION_VIEWPORT","बिना इंटरपोलेशन"
"STRETCH_OPTION_2D","इंटरपोलेटेड"
"CRT_OPTION","CRT फ़िल्टर"
"LIGHT_VALUE","हल्का"
"STRONG_VALUE","मज़बूत"
"DEBUG_OPTION","डीबग दिखाएँ"
"SHOWIGT_OPTION","IGT दिखाएँ"
"GATEWAYSKIP_OPTION","गेटवे स्किप"
"ASPECT_OPTION","आस्पेक्ट रेशियो"
"IGNORE_VALUE","अनदेखा"
"KEEP_VALUE","बनाए रखें"
"KEYCFG_TITLE","कुंजी विन्यास"
"EXIT_MAINMENU","टाइटल स्क्रीन पर लौटें"
"ACTION_CTG","एक्शन"
"KEYBOARD_CTG","कीबोर्ड"
"JOYPAD_CTG","जॉयपैड"
"LEFT_ACT","बायाँ"
"RIGHT_ACT","दायाँ"
"NEWGAME_OPTION","New game+"
"CLEARSAVE_OPTION","सेव मिटाएँ और रीसेट करें"
"CLEARSAVE_CONFIRM","पुष्टि के लिए फिर दबाएँ"
"RESET_ACHIEV","उपलब्धि प्रगति मिटाएँ"
"CLEARSAVE_CONFIRM","पुष्टि के लिए फिर दबाएँ"
"RESET_ACHIEV_FINISHED","उपलब्धि प्रगति मिटा दी गई।"
"UP_ACT","ऊपर"
"DOWN_ACT","नीचे"
"SHOT_ACT","शॉट"
"SHOT2_ACT","शॉट2"
"JUMP_ACT","कूद"
"DASH_ACT","डैश"
"ARMORABILITY_ACT","आर्मर क्षमता"
"PREV_ACT","पिछला हथियार"
"NEXT_ACT","अगला हथियार"
"PAUSE_ACT","पॉज़ मेनू"
"CONFIRM_ACT","मेनू पुष्टि"
"WPNLEFT_ACT","व्हील बायाँ"
"WPNRIGHT_ACT","व्हील दायाँ"
"WPNUP_ACT","व्हील ऊपर"
"WPNDOWN_ACT","व्हील नीचे"
"WPNRESET_ACT","बस्टर चुनें"
"ACHIEV_SCREEN_TITLE","उपलब्धियाँ"
"ACHIEVEMENTSUNLOCKED","अर्जित उपलब्धियाँ"
"DEBUGACHIEVTITLE","लॉक्ड उपलब्धि..."
"DEBUGACHIEVDISC","डीबग मोड का उपयोग किया।"
"BEATINTRO_DISC","Noah's Park के बॉस को हराया।"
"BEATINTRO_TITLE","फिर से मिलकर अच्छा लगा"
"COLLECTALLHEARTS_DISC","सभी हार्ट टैंक इकट्ठे किए।"
"COLLECTALLHEARTS_TITLE","Strider"
"COLLECTALLSUBTANKS_DISC","सभी सब टैंक इकट्ठे किए।"
"COLLECTALLSUBTANKS_TITLE","Virtue's Last Reward"
"COLLECTFULLHERMES_DISC","सभी Hermes आर्मर पार्ट्स इकट्ठे किए।"
"COLLECTFULLHERMES_TITLE","Soul Eraser"
"COLLECTFULLICARUS_DISC","सभी Icarus आर्मर पार्ट्स इकट्ठे किए।"
"COLLECTFULLICARUS_TITLE","Command Mission"
"SURFEDONMISSILE_DISC","6 सेकंड तक आसमान में सर्फ किया।"
"SURFEDONMISSILE_TITLE","Bomb Rush Cyberfunk"
"DEFEATEDALL_DISC","सभी आठ मैवरिक बॉस को हराया।"
"DEFEATEDALL_TITLE","The Orbital Elevator"
"DEFEATEDANY_DISC","किसी भी मैवरिक बॉस को हराया।"
"DEFEATEDANY_TITLE","New Generation Reploids"
"GIGACRUSHKILL_DISC","Giga Crash से बॉस को खत्म किया।"
"GIGACRUSHKILL_TITLE","Cataclysm"
"PELEDOSGAMES_DISC","बॉस को हराने के बाद आर्मर को अच्छे से जगल किया।"
"PELEDOSGAMES_TITLE","Pelé of the Games"
"PERFECTKILL_DISC","बिना विशेष हथियारों, बिना नुकसान लिए और बिना अपग्रेड के किसी बॉस को हराया।"
"PERFECTKILL_TITLE","Mark of the Wolves"
"XDRIVEDODGE_DISC","एक डेस्परेशन अटैक के दौरान XDrive का उपयोग किया।"
"XDRIVEDODGE_TITLE","Mark of the Ninja"
"GIGACRUSHKILL_DISC","Giga Crash से बॉस को खत्म किया।"
"GIGACRUSHKILL_TITLE","Cataclysm"
"ANTONIONBUSTERONLY_DISC","बिना विशेष हथियारों के Gravity Antonion को हराया।"
"ANTONIONBUSTERONLY_TITLE","Don't attach Labels to me"
"ANTONIONNAKED_DISC","बिना कोई अपग्रेड लगाए Gravity Antonion को हराया।"
"ANTONIONNAKED_TITLE","Not after Praise"
"ANTONIONNODAMAGE_DISC","बिना कोई नुकसान उठाए Gravity Antonion को हराया।"
"ANTONIONNODAMAGE_TITLE","An Incredible Scientist"
"ANTONIONNOROTATION_DISC","Primrose में बिना स्टेज को घुमाए और बिना मरे अंत तक पहुँचा।"
"ANTONIONNOROTATION_TITLE","Portal"
"MANOWARBUSTERONLY_DISC","बिना विशेष हथियारों के Gigabolt Manowar को हराया।"
"MANOWARBUSTERONLY_TITLE","I'm in complete control"
"MANOWARNAKED_DISC","बिना कोई अपग्रेड लगाए Gigabolt Manowar को हराया।"
"MANOWARNAKED_TITLE","Who are you, anyway?"
"MANOWARNODAMAGE_DISC","बिना कोई नुकसान उठाए Gigabolt Manowar को हराया।"
"MANOWARNODAMAGE_TITLE","Not doing anything wrong"
"MANOWARDOOREXPLODED_DISC","Dynasty में रास्ता तोड़कर आगे बढ़ा।"
"MANOWARDOOREXPLODED_TITLE","Gotta Go Fast"
"MANTISBUSTERONLY_DISC","बिना विशेष हथियारों के Dark Mantis को हराया।"
"MANTISBUSTERONLY_TITLE","Let my blade show you"
"MANTISNAKED_DISC","बिना कोई अपग्रेड लगाए Dark Mantis को हराया।"
"MANTISNAKED_TITLE","Can't go Maverick, Kid"
"MANTISNODAMAGE_DISC","बिना कोई नुकसान उठाए Dark Mantis को हराया।"
"MANTISNODAMAGE_TITLE","Your precious ""Justice"""
"MANTISLIT_DISC","Pitch Black में अंधेरे का अंत किया।"
"MANTISLIT_TITLE","Shining In The Darkness"
"MANTISUNDETECTED_DISC","Pitch Black में सभी सर्चलाइट्स से बचा।"
"MANTISUNDETECTED_TITLE","Shadow Tactics"
"PANDABUSTERONLY_DISC","बिना विशेष हथियारों के Bamboo Pandamonium को हराया।"
"PANDABUSTERONLY_TITLE","Sole purpose to Destroy"
"PANDANAKED_DISC","बिना कोई अपग्रेड लगाए Bamboo Pandamonium को हराया।"
"PANDANAKED_TITLE","We are forced to Fight"
"PANDANODAMAGE_DISC","बिना कोई नुकसान उठाए Bamboo Pandamonium को हराया।"
"PANDANODAMAGE_TITLE","Never thought yourself?"
"PANDARIDEREACHED_DISC","Ride Armor Cyclops के साथ Booster Forest के अंत तक पहुँचा।"
"PANDARIDEREACHED_TITLE","Probotector"
"ROOSTERBUSTERONLY_DISC","बिना विशेष हथियारों के Burn Rooster को हराया।"
"ROOSTERBUSTERONLY_TITLE","The Price I have to pay"
"ROOSTERNAKED_DISC","बिना कोई अपग्रेड लगाए Burn Rooster को हराया।"
"ROOSTERNAKED_TITLE","Labeled Maverick"
"ROOSTERNODAMAGE_DISC","बिना कोई नुकसान उठाए Burn Rooster को हराया।"
"ROOSTERNODAMAGE_TITLE","This is no ordinary Riot"
"ROOSTERFROZEN_DISC","Inferno में लावा की दीवार को रोका।"
"ROOSTERFROZEN_TITLE","Hades"
"SUNFLOWERBUSTERONLY_DISC","बिना विशेष हथियारों के Optic Sunflower को हराया।"
"SUNFLOWERBUSTERONLY_TITLE","No one can control us"
"SUNFLOWERNAKED_DISC","बिना कोई अपग्रेड लगाए Optic Sunflower को हराया।"
"SUNFLOWERNAKED_TITLE","We're no Monsters"
"SUNFLOWERNODAMAGE_DISC","बिना कोई नुकसान उठाए Optic Sunflower को हराया।"
"SUNFLOWERNODAMAGE_TITLE","What we're after"
"SUNFLOWERGOTSSSRANK_DISC","एक ही रन में सभी चुनौतियों में S रैंक प्राप्त किया।"
"SUNFLOWERGOTSSSRANK_TITLE","Gravity Circuit"
"TRILOBYTEBUSTERONLY_DISC","बिना विशेष हथियारों के Earthrock Trilobyte को हराया।"
"TRILOBYTEBUSTERONLY_TITLE","The Ore we mine"
"TRILOBYTENAKED_DISC","बिना कोई अपग्रेड लगाए Earthrock Trilobyte को हराया।"
"TRILOBYTENAKED_TITLE","Old heaps of Junk"
"TRILOBYTENODAMAGE_DISC","बिना कोई नुकसान उठाए Earthrock Trilobyte को हराया।"
"TRILOBYTENODAMAGE_TITLE","Brainless Maverick Hunter"
"YETIBUSTERONLY_DISC","बिना विशेष हथियारों के Avalanche Yeti को हराया।"
"YETIBUSTERONLY_TITLE","It's too late..."
"YETINAKED_DISC","बिना कोई अपग्रेड लगाए Avalanche Yeti को हराया।"
"YETINAKED_TITLE","You Old model Reploids"
"YETINODAMAGE_DISC","बिना कोई नुकसान उठाए Avalanche Yeti को हराया।"
"YETINODAMAGE_TITLE","Puny Maverick Hunter"
"YETIDOOREXPLODED_DISC","Central White में रास्ता तोड़कर आगे बढ़ा।"
"YETIDOOREXPLODED_TITLE","Sonic Drive"
"VILEJAKOBBUSTERONLY_DISC","बिना विशेष हथियारों के Vile को हराया।"
"VILEJAKOBBUSTERONLY_TITLE","Piecing it Together"
"VILEJAKOBNAKED_DISC","बिना कोई अपग्रेड लगाए Vile को हराया।"
"VILEJAKOBNAKED_TITLE","For a World that's Doomed"
"VILEJAKOBNODAMAGE_DISC","बिना कोई नुकसान उठाए Vile को हराया।"
"VILEJAKOBNODAMAGE_TITLE","At times like this"
"VILEDEFEATEDTWICE_DISC","Vile को दो बार हराया।"
"VILEDEFEATEDTWICE_TITLE","Our little Reunion"
"VILEDEVILBEARDEFEATED_DISC","लड़ाई खत्म होने से पहले Devil Bear को हराया।"
"VILEDEVILBEARDEFEATED_TITLE","Steel Assault"
"VILEJAKOBDEFEATED_DISC","Orbital Elevator के शीर्ष पर Vile को हराया।"
"VILEJAKOBDEFEATED_TITLE","The route to Space"
"VILESIGMADEFEATED_DISC","Sigma Palace में Vile को हराया।"
"VILESIGMADEFEATED_TITLE","Hope remains"
"GATEWAYFIESTA_DISC","Gateway में सबसे कठिन चुनौती से बचकर निकला।"
"GATEWAYFIESTA_TITLE","Desperados"
"COPYBUSTERONLY_DISC","बिना विशेष हथियारों के नकलची को हराया।"
"COPYBUSTERONLY_TITLE","Your world has Decayed"
"COPYNAKED_DISC","बिना कोई अपग्रेड लगाए नकलची को हराया।"
"COPYNAKED_TITLE","Put a stop to what?"
"COPYNODAMAGE_DISC","बिना कोई नुकसान उठाए नकलची को हराया।"
"COPYNODAMAGE_TITLE","I am indeed Sigma"
"COPYDEFEATED_DISC","नकलची को हराया।"
"COPYDEFEATED_TITLE","Time for our Final Showdown"
"SIGMANAKED_DISC","बिना कोई अपग्रेड लगाए Sigma को हराया।"
"SIGMANAKED_TITLE","Ruler of the New World"
"SIGMANODAMAGE_DISC","बिना कोई नुकसान उठाए Sigma को हराया।"
"SIGMANODAMAGE_TITLE","Our Meeting was Fated"
"LUMINENAKED_DISC","बिना कोई अपग्रेड लगाए अंतिम बॉस को हराया।"
"LUMINENAKED_TITLE","I supose you're satisfied"
"LUMINENODAMAGE_DISC","बिना कोई नुकसान उठाए अंतिम बॉस को हराया।"
"LUMINENODAMAGE_TITLE","Of course I'm Ok"
"SERAPHNAKED_DISC","बिना कोई अपग्रेड लगाए अंतिम बॉस के दूसरे चरण को हराया।"
"SERAPHNAKED_TITLE","Do you have what it takes?"
"SERAPHNODAMAGE_DISC","बिना कोई नुकसान उठाए अंतिम बॉस के दूसरे चरण को हराया।"
"SERAPHNODAMAGE_TITLE","Accursed Cycle of Aggression"
"SERAPHDEFEATED_DISC","गेम पूरा किया।"
"SERAPHDEFEATED_TITLE","Tools of the Old World"
"SECRET1DEFEATED_DISC","गुप्त बॉस को हराया।"
"SECRET1DEFEATED_TITLE","Corridors of Time"
"SECRET2DEFEATED_DISC","गुप्त बॉस #2 को हराया।"
"SECRET2DEFEATED_TITLE","Cycle of the Six Existences"
"SECRET3DEFEATED_DISC","गुप्त बॉस #3 को हराया।"
"SECRET3DEFEATED_TITLE","Dual Destinies"
"COLLECTBLACKZERO_TITLE","Maverick's Worst Nightmare"
"COLLECTBLACKZERO_DISC","Black Armor अनलॉक करें। जाओ, मेरी सबसे महान कृति, तुम सबसे शक्तिशाली रोबोट हो।"
"COLLECTWHITEAXL_TITLE","Unknown Power"
"COLLECTWHITEAXL_DISC","White Armor अनलॉक करें। सब कुछ के बावजूद, तुम अभी भी तुम ही हो......है ना?"
"COLLECTULTIMATEX_TITLE","For Everlasting Peace"
"COLLECTULTIMATEX_DISC","Ultimate Armor अनलॉक करें। जाओ Maverick Hunter, तुम मानवता की अंतिम आशा हो।"
"ZERODEFEATED_DISC","Zero को उसके जागृत रूप में हराओ।"
"ZERODEFEATED_TITLE","The Decisive Battle"
"STAGE_DC","स्टेज"
"BOSS_DC","बॉस"
"COMPLETION_DC","पूर्ण"
"NOAHSPARK_STAGE","Noah's Park"
"NOAHSPARK_NAME","King Crabs-Y"
"SUNFLOWER_STAGE","Troia Base"
"SUNFLOWER_NAME","Optic Sunflower"
"ANTONION_STAGE","Primrose"
"ANTONION_NAME","Gravity Antonion"
"MANTIS_STAGE","Pitch Black"
"MANTIS_NAME","Dark Mantis"
"MANOWAR_STAGE","Dynasty"
"MANOWAR_NAME","Gigabolt Manowar"
"PANDA_STAGE","Booster Forest"
"PANDA_NAME","Bamboo Pandamonium"
"TRILOBYTE_STAGE","Metal Valley"
"TRILOBYTE_NAME","Earthrock Trilobyte"
"YETI_STAGE","Central White"
"YETI_NAME","Avalanche Yeti"
"ROOSTER_STAGE","Inferno"
"ROOSTER_NAME","Burn Rooster"
"JAKOB_STAGE","Jakob Elevator"
"GATEWAY_STAGE","Gateway"
"SIGMA_STAGE","Sigma Palace"
"HERMESHEAD1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"HERMESHEAD2","इस बार, Head Parts H आज़माओ।"
"HERMESHEAD3","इस पार्ट को लगाने से तुम्हारे हथियारों की चार्ज गति बढ़ जाएगी।"
"HERMESHEAD4","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"HERMESBODY1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"HERMESBODY2","यह लो... Body Parts H आज़माओ।"
"HERMESBODY3","इस पार्ट को लगाने से तुम दुश्मनों को मारकर या नष्ट करके अपना नुकसान ठीक कर सकोगे।"
"HERMESBODY4","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"HERMESARMS1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"HERMESARMS2","यह लो, ये Buster Parts H आज़माओ।"
"HERMESARMS3","इस पार्ट को लगाने से तुम्हें Spread Shot Charge Attack मिलेगा।"
"HERMESARMS4","तुम्हारे हथियार Charge Shot के अलावा फायर करते समय ऊर्जा खर्च नहीं करेंगे।"
"HERMESARMS5","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"HERMESLEGS1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"HERMESLEGS2","ये Foot Parts H आज़माओ।"
"HERMESLEGS3","यह तुम्हारे डैश को जमीन और हवा दोनों में दुश्मन के हमलों से अजेयता देगा।"
"HERMESLEGS4","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"ICARUSHEAD1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"ICARUSHEAD2","यह लो... Head Parts I।"
"ICARUSHEAD3","इस पार्ट को लगाने से तुम दुश्मनों के पास कूदकर उन्हें नुकसान पहुँचा सकोगे।"
"ICARUSHEAD4","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"ICARUSBODY1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"ICARUSBODY2","इस बार, Body Parts I आज़माओ।"
"ICARUSBODY3","इसे लगाने से तुम्हें सामान्य से कम नुकसान होगा, और दुश्मन तुम्हें पीछे नहीं धकेल पाएँगे।"
"ICARUSBODY4","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"ICARUSARMS1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"ICARUSARMS2","मेरे पास तुम्हारे लिए नए पार्ट्स हैं... ये Buster Parts I हैं।"
"ICARUSARMS3","इस पार्ट को लगाओ, और तुम्हें एक शक्तिशाली Laser Charge Shot दागने की क्षमता मिलेगी।"
"ICARUSARMS4","साथ ही, जब तुम अपने विशेष हथियारों को चार्ज करके उपयोग करोगे, तो वे ऊर्जा खर्च नहीं करेंगे।"
"ICARUSARMS5","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"ICARUSLEGS1","X... मुझे लगा था कि ऐसा कुछ किसी दिन हो सकता है, इसलिए मैंने तुम्हारे लिए पार्ट्स तैयार किए हैं।"
"ICARUSLEGS2","ये नए पार्ट्स... ये Foot Parts I हैं।"
"ICARUSLEGS3","इस पार्ट को लगाने से तुम सामान्य से बहुत ऊँचा कूद सकोगे और दो बार एयर डैश कर सकोगे।"
"ICARUSLEGS4","यह नई क्षमता लगाने के लिए कैप्सूल में चढ़ो, X।"
"INTRO2-1","यह X है! मैं Orbital Elevator के पास दुर्घटना स्थल के करीब हूँ!"
"INTRO2-2","यहाँ चारों तरफ Maverick भरे हुए हैं!"
