key,zh_CN
TOTAL_TIME,总摸鱼时间
DISCLAIMER1,这是一款免费同人游戏，白嫖的哦。\n\n跟Capcom没有半毛钱关系，求求别发律师函。\n\n洛克人X是Capcom的。\n请支持正版，别当海盗！
MADE_BY,一个人肝秃了的项目：
INSPIRED_BY,是谁让我开始卷的
SPECIALTHANKSTEXT,这个Mod由Zashiko肝出来的\n\n反编译：pirate（真·海盗）\n游戏涡轮增压：Rafael Setragni & Claude (AI，没错就是我)\n\n感谢所有贡献者和测试人员，你们都是yyds。\n重翻译：ElevenSSF2 (Mint)
16-BIT_TITLE,16位 复古yyds
OPTIONS_START,搞设置去
KEYCFG_START,改键位啦
GAME_START,芜湖起飞！
GAME_START_NORMAL,普通模式（适合社畜）
GAME_START_ROOKIE,萌新模式（不丢人）
GAME_START_HARD,困难模式（有点卷）
GAME_START_INSANITY,疯狂模式（你是M吗）
GAME_START_NINJA,忍者龙剑传模式（告辞）
LOAD_GAME,读档复活
ON_VALUE,开
ON_VALUE_B,整一个
OFF_VALUE,关
EXIT_BUTTON,溜了溜了
ARMORSETUP_TITLE,装甲换装大会
LOADOUT_DISC,选个帅的。
DEFAULTHEAD_NAME,默认头
DEFAULTHEAD_DISC,白板部件，但是是你的起点。
DEFAULTBODY_NAME,默认身体
DEFAULTBODY_DISC,白板部件。
DEFAULTARMS_NAME,默认巴斯特
DEFAULTARMS_DISC,白板部件。
DEFAULTLEGS_NAME,默认脚
DEFAULTLEGS_DISC,白板部件。能空中冲刺就够了。
HERMESHEAD_NAME,头部H（快充版）
HERMESHEAD_DISC,蓄力速度起飞，再也不用等了。
HERMESBODY_NAME,身体H（吸血鬼版）
HERMESBODY_DISC,打人回血，越战越勇。
HERMESARMS_NAME,巴斯特H（无限弹药版）
HERMESARMS_DISC,武器不耗弹，简直开挂。
HERMESLEGS_NAME,脚部H（无敌风火轮）
HERMESLEGS_DISC,冲刺时无敌，你追不到我吧。
ICARUSHEAD_NAME,头部I（蹦蹦伤害）
ICARUSHEAD_DISC,跳一下就伤害周围，我就蹦蹦蹦。
ICARUSBODY_NAME,身体I（铁布衫）
ICARUSBODY_DISC,免疫击退，你打我我不动。
ICARUSARMS_NAME,巴斯特I（蓄力免费）
ICARUSARMS_DISC,蓄力射击不耗弹，良心。
ICARUSLEGS_NAME,脚部I（超级马里奥）
ICARUSLEGS_DISC,高跳+双段空中冲刺，飞天遁地。
ULTIMATEHEAD_NAME,头部U（全都要版）
ULTIMATEHEAD_DISC,蹦蹦伤害+快速蓄力，我全都要。
ULTIMATEBODY_NAME,身体U（六边形战士）
ULTIMATEBODY_DISC,不被击退+打人回血，什么叫完美。
ULTIMATEARMS_NAME,究极巴斯特
ULTIMATEARMS_DISC,完全不耗弹。这不是bug，是feature。
ULTIMATELEGS_NAME,脚部U（风一样的男子）
ULTIMATELEGS_DISC,极致机动+无敌冲刺，追我啊笨蛋。
AXLNORMAL_NAME,标准装甲
AXLNORMAL_DISC,啥也没有。朴实无华。
AXLWHITE_NAME,???
AXLWHITE_DISC,全面buff，偷偷变强。
TANK_ABV,能量罐
OPTIONS_ABV,选项
KEYCFG_ABV,键位
ACHIEV_ABV,成就
X_WPNMENU,柠檬弹
SUNFLOWER_WPNMENU,向日葵盾
ANTONION_WPNMENU,蚂蚁炸弹
MANTIS_WPNMENU,暗黑之箭
MANOWAR_WPNMENU,雷霆蹦迪
PANDA_WPNMENU,嘭！发射器
TRILOBYTE_WPNMENU,弹弹弹
YETI_WPNMENU,冰淇淋钻石
ROOSTER_WPNMENU,烤鸡冲刺
AXL_WPNMENU,突突突子弹
SUNFLOWER_AXL_WPNMENU,射线枪
ANTONION_AXL_WPNMENU,螺旋手枪
MANTIS_AXL_WPNMENU,中二之箭
MANOWAR_AXL_WPNMENU,等离子枪
PANDA_AXL_WPNMENU,爆破发射器
TRILOBYTE_AXL_WPNMENU,弹弹球枪
YETI_AXL_WPNMENU,冰冰加特林
ROOSTER_AXL_WPNMENU,火锅喷射器
SUNFLOWER_ZERO_WPNMENU,天翔波！！！
ANTONION_ZERO_WPNMENU,重波斩
MANTIS_ZERO_WPNMENU,罗刹旋
MANOWAR_ZERO_WPNMENU,雷光闪
PANDA_ZERO_WPNMENU,叶断突
TRILOBYTE_ZERO_WPNMENU,裂镜弹
YETI_ZERO_WPNMENU,冰龙升
ROOSTER_ZERO_WPNMENU,炎皇刃
SUNFLOWER_ZERO_DISC,下 + 射击2
ANTONION_ZERO_DISC,射击2
MANTIS_ZERO_DISC,射击2（空中搓招）
MANOWAR_ZERO_DISC,冲刺 + 射击2
PANDA_ZERO_DISC,左/右 + 射击2
TRILOBYTE_ZERO_DISC,被动（躺着也有用）
YETI_ZERO_DISC,上 + 射击2
ROOSTER_ZERO_DISC,下 + 射击2（空中搓招）
ZERO_WPNMENU,后哈后！光剑
BFAN_WPNMENU,B扇子
DGLAIVE_WPNMENU,D大枪
TBREAKER_WPNMENU,T锤子
KKNUCKLE_WPNMENU,K拳套
VHANGER_WPNMENU,V双刃
SIGMABLADE_WPNMENU,西格玛同款刀
YOUGOT_TITLE,恭喜获得
SUNFLOWER_WEAPON,光学护盾
ANTONION_WEAPON,挤压炸弹
MANTIS_WEAPON,暗黑之箭
MANOWAR_WEAPON,雷霆蹦迪
PANDA_WEAPON,爆破发射器
TRILOBYTE_WEAPON,水晶弹弹弹
YETI_WEAPON,冰淇淋钻石
ROOSTER_WEAPON,烤鸡冲刺
OPTIONS_TITLE,设置大厅
LANGUAGE_OPTION,语言
BOSS_REMIX_OPTION,Boss混音（好听）
REMIX_OPTION,16位混音（更好听）
DT_DASH_OPTION,双击冲刺
SKIP_DIAG_OPTION,跳过废话
CHARGE_OPTION,蓄力淡出
ACHIEV_OPTION,显示成就（炫耀用）
MUSIC_OPTION,音乐音量
SOUND_OPTION,音效音量
VSync,垂直同步
FPS_OPTION,目标帧率
FPS_PHYSICS_OPTION,物理帧率
FPS_UNCAPPED,不封顶（显卡燃起来）
WSIZE_OPTION,窗口大小
FULLSCREEN_OPTION,全屏
STRETCH_OPTION,拉伸模式
STRETCH_OPTION_VIEWPORT,像素风（原汁原味）
STRETCH_OPTION_2D,插值（糊一点）
CRT_OPTION,CRT滤镜（复古情怀）
LIGHT_VALUE,淡淡的
STRONG_VALUE,浓浓的
DEBUG_OPTION,显示调试（开发者の秘密）
SHOWIGT_OPTION,显示游戏时间（摸了多久鱼）
GATEWAYSKIP_OPTION,跳过通道关（怕了怕了）
ASPECT_OPTION,画面比例
IGNORE_VALUE,无视
KEEP_VALUE,保持
KEYCFG_TITLE,按键设置
EXIT_MAINMENU,跑路回标题画面
ACTION_CTG,操作
KEYBOARD_CTG,键盘
JOYPAD_CTG,手柄
LEFT_ACT,左
RIGHT_ACT,右
NEWGAME_OPTION,二周目+（卷王专用）
CLEARSAVE_OPTION,删档重来（勇者）
CLEARSAVE_CONFIRM,再按一次确认（真删？）
RESET_ACHIEV,清除成就（前功尽弃）
CLEARSAVE_CONFIRM,再按一次确认（真删？）
RESET_ACHIEV_FINISHED,成就已清除。重新开始卷吧。
UP_ACT,上
DOWN_ACT,下
SHOT_ACT,射击
SHOT2_ACT,射击2
JUMP_ACT,跳！
DASH_ACT,冲！
ARMORABILITY_ACT,装甲大招
PREV_ACT,上一武器
NEXT_ACT,下一武器
PAUSE_ACT,暂停摸鱼
CONFIRM_ACT,确认
WPNLEFT_ACT,轮盘左
WPNRIGHT_ACT,轮盘右
WPNUP_ACT,轮盘上
WPNDOWN_ACT,轮盘下
WPNRESET_ACT,切回柠檬弹
ACHIEV_SCREEN_TITLE,成就殿堂
ACHIEVEMENTSUNLOCKED,已达成的成就
DEBUGACHIEVTITLE,锁定的成就...
DEBUGACHIEVDISC,用了调试模式被抓到了，草。
BEATINTRO_DISC,击败了诺亚公园Boss。热身完毕。
BEATINTRO_TITLE,好久不见啊老铁
COLLECTALLHEARTS_DISC,收集了所有心之容器。你是仓鼠吗？
COLLECTALLHEARTS_TITLE,收藏家
COLLECTALLSUBTANKS_DISC,收集了全部能量罐。囤货达人。
COLLECTALLSUBTANKS_TITLE,仓鼠本鼠
COLLECTFULLHERMES_DISC,收集了赫尔墨斯全套。一键换装完毕。
COLLECTFULLHERMES_TITLE,灵魂消除者
COLLECTFULLICARUS_DISC,收集了伊卡洛斯全套。飞天梦圆。
COLLECTFULLICARUS_TITLE,指挥任务
SURFEDONMISSILE_DISC,在导弹上冲浪6秒。芜湖起飞！
SURFEDONMISSILE_TITLE,导弹冲浪yyds
DEFEATEDALL_DISC,击败全部八个Boss。八杀！
DEFEATEDALL_TITLE,轨道电梯
DEFEATEDANY_DISC,击败了任意一个Boss。新手上路。
DEFEATEDANY_TITLE,新世代思考型机器人
GIGACRUSHKILL_DISC,用超级粉碎终结Boss。太爽了吧。
GIGACRUSHKILL_TITLE,大灾变
PELEDOSGAMES_DISC,击败Boss后颠了装甲。你是贝利转世？
PELEDOSGAMES_TITLE,游戏界球王
PERFECTKILL_DISC,不用特殊武器、不受伤、不升级击败Boss。大佬请收下我的膝盖。
PERFECTKILL_TITLE,饿狼传说之印
XDRIVEDODGE_DISC,Boss放大招时开了X Drive。差0.01秒你就没了。
XDRIVEDODGE_TITLE,忍者印记
GIGACRUSHKILL_DISC,用超级粉碎终结Boss。太爽了吧。
GIGACRUSHKILL_TITLE,大灾变
ANTONIONBUSTERONLY_DISC,只用柠檬弹击败了蚂蚁。柠檬侠！
ANTONIONBUSTERONLY_TITLE,别给我贴标签啊喂
ANTONIONNAKED_DISC,裸装击败了蚂蚁。真男人不穿甲。
ANTONIONNAKED_TITLE,并非为了赞美
ANTONIONNODAMAGE_DISC,无伤击败了蚂蚁。你是不是开挂了？
ANTONIONNODAMAGE_TITLE,绝绝子科学家
ANTONIONNOROTATION_DISC,不旋转不死亡通关报春花。你的平衡感绝了。
ANTONIONNOROTATION_TITLE,传送门
MANOWARBUSTERONLY_DISC,只用柠檬弹击败了水母。电疗失败。
MANOWARBUSTERONLY_TITLE,完全在我掌控中
MANOWARNAKED_DISC,裸装击败了水母。你穿什么打什么。
MANOWARNAKED_TITLE,你谁啊？
MANOWARNODAMAGE_DISC,无伤击败了水母。连电都没碰到？
MANOWARNODAMAGE_TITLE,确实没干坏事
MANOWARDOOREXPLODED_DISC,在王朝关卡炸门通过了。暴力破解。
MANOWARDOOREXPLODED_TITLE,快到模糊
MANTISBUSTERONLY_DISC,只用柠檬弹击败了螳螂。刀客表示不服。
MANTISBUSTERONLY_TITLE,让我的刀来说话
MANTISNAKED_DISC,裸装击败了螳螂。螳螂：你不讲武德。
MANTISNAKED_TITLE,不能变不规则的小子
MANTISNODAMAGE_DISC,无伤击败了螳螂。暗杀大师。
MANTISNODAMAGE_TITLE,"你珍视的""正义""哈哈"
MANTISLIT_DISC,在漆黑关卡中点亮了黑暗。光明使者。
MANTISLIT_TITLE,暗中有光
MANTISUNDETECTED_DISC,在漆黑关卡躲过了所有探照灯。潜行大师。
MANTISUNDETECTED_TITLE,影子战术
PANDABUSTERONLY_DISC,只用柠檬弹击败了熊猫。柠檬vs竹子。
PANDABUSTERONLY_TITLE,唯一目的就是毁灭
PANDANAKED_DISC,裸装击败了熊猫。功夫熊猫反过来了。
PANDANAKED_TITLE,我们被迫营业
PANDANODAMAGE_DISC,无伤击败了熊猫。国宝也不行。
PANDANODAMAGE_TITLE,你难道没想过？
PANDARIDEREACHED_DISC,开着机甲到了加速森林终点。机甲永远的神。
PANDARIDEREACHED_TITLE,魂斗罗
ROOSTERBUSTERONLY_DISC,只用柠檬弹击败了公鸡。柠檬烤鸡。
ROOSTERBUSTERONLY_TITLE,这是必须付出的代价
ROOSTERNAKED_DISC,裸装击败了公鸡。赤膊上阵。
ROOSTERNAKED_TITLE,被贴上不规则标签
ROOSTERNODAMAGE_DISC,无伤击败了公鸡。连根毛都没被烧到。
ROOSTERNODAMAGE_TITLE,这不是一般的暴动啊
ROOSTERFROZEN_DISC,在地狱关卡阻止了熔岩墙。用冰的就对了。
ROOSTERFROZEN_TITLE,冥界
SUNFLOWERBUSTERONLY_DISC,只用柠檬弹击败了向日葵。向日葵黑了。
SUNFLOWERBUSTERONLY_TITLE,没人能控制我们哒
SUNFLOWERNAKED_DISC,裸装击败了向日葵。素颜出战。
SUNFLOWERNAKED_TITLE,我们不是怪物好吧
SUNFLOWERNODAMAGE_DISC,无伤击败了向日葵。光学反射高手。
SUNFLOWERNODAMAGE_TITLE,我们追求的是什么
SUNFLOWERGOTSSSRANK_DISC,单次通关全S评价。卷王就是你。
SUNFLOWERGOTSSSRANK_TITLE,重力回路
TRILOBYTEBUSTERONLY_DISC,只用柠檬弹击败了三叶虫。化石级操作。
TRILOBYTEBUSTERONLY_TITLE,我们开采的矿石
TRILOBYTENAKED_DISC,裸装击败了三叶虫。考古学家。
TRILOBYTENAKED_TITLE,老古董废铁堆
TRILOBYTENODAMAGE_DISC,无伤击败了三叶虫。石头都碰不到你。
TRILOBYTENODAMAGE_TITLE,没脑子的猎人？谁？
YETIBUSTERONLY_DISC,只用柠檬弹击败了雪人。融化了属于是。
YETIBUSTERONLY_TITLE,已经太迟了...
YETINAKED_DISC,裸装击败了雪人。在暴风雪中裸奔。
YETINAKED_TITLE,你们这些旧型号
YETINODAMAGE_DISC,无伤击败了雪人。连雪球都没碰到。
YETINODAMAGE_TITLE,弱鸡猎人？不存在的
YETIDOOREXPLODED_DISC,在中央白色关卡炸门通过了。门：我招谁惹谁了。
YETIDOOREXPLODED_TITLE,音速冲击
VILEJAKOBBUSTERONLY_DISC,只用柠檬弹击败了Vile。老朋友也不放过。
VILEJAKOBBUSTERONLY_TITLE,拼凑真相中
VILEJAKOBNAKED_DISC,裸装击败了Vile。Vile哭了。
VILEJAKOBNAKED_TITLE,为了注定毁灭的世界
VILEJAKOBNODAMAGE_DISC,无伤击败了Vile。你这是欺负人。
VILEJAKOBNODAMAGE_TITLE,在这种时刻
VILEDEFEATEDTWICE_DISC,击败了Vile两次。他是不是该反省一下。
VILEDEFEATEDTWICE_TITLE,又又又见面了
VILEDEVILBEARDEFEATED_DISC,提前击败了恶魔熊。熊：还没发力呢。
VILEDEVILBEARDEFEATED_TITLE,钢铁突击
VILEJAKOBDEFEATED_DISC,在轨道电梯顶部击败了Vile。高空作战。
VILEJAKOBDEFEATED_TITLE,通往太空之路
VILESIGMADEFEATED_DISC,在西格玛宫殿击败了Vile。送你回家。
VILESIGMADEFEATED_TITLE,还有希望的
GATEWAYFIESTA_DISC,在通道关通过了最难的挑战。你是人吗？
GATEWAYFIESTA_TITLE,亡命之徒
COPYBUSTERONLY_DISC,只用柠檬弹击败了冒牌货。假的就是假的。
COPYBUSTERONLY_TITLE,你的世界已经烂了
COPYNAKED_DISC,裸装击败了冒牌货。裸装打假。
COPYNAKED_TITLE,要阻止什么？
COPYNODAMAGE_DISC,无伤击败了冒牌货。假货不配碰我。
COPYNODAMAGE_TITLE,我确实是西格玛（自信）
COPYDEFEATED_DISC,击败了冒牌货。鉴定为假。
COPYDEFEATED_TITLE,最终对决的时刻
SIGMANAKED_DISC,裸装击败了西格玛。光头佬也不过如此。
SIGMANAKED_TITLE,新世界的统治者（笑）
SIGMANODAMAGE_DISC,无伤击败了西格玛。西格玛：我退游了。
SIGMANODAMAGE_TITLE,我们的相遇是命中注定的
LUMINENAKED_DISC,裸装击败了最终Boss。你不是人类吧？
LUMINENAKED_TITLE,我想你该满意了吧
LUMINENODAMAGE_DISC,无伤击败了最终Boss。地球Online最强玩家。
LUMINENODAMAGE_TITLE,我当然没事啦
SERAPHNAKED_DISC,裸装击败了最终Boss第二形态。绝绝子。
SERAPHNAKED_TITLE,你真有那个实力？
SERAPHNODAMAGE_DISC,无伤击败了最终Boss第二形态。封神了家人们。
SERAPHNODAMAGE_TITLE,可恶的侵略循环
SERAPHDEFEATED_DISC,通关了。可以去摸鱼了。
SERAPHDEFEATED_TITLE,旧世界的工具人
SECRET1DEFEATED_DISC,击败了隐藏Boss。你是怎么找到的？
SECRET1DEFEATED_TITLE,时之回廊
SECRET2DEFEATED_DISC,击败了隐藏Boss#2。开始离谱了。
SECRET2DEFEATED_TITLE,六道轮回
SECRET3DEFEATED_DISC,击败了隐藏Boss#3。三杀隐藏Boss。
SECRET3DEFEATED_TITLE,双重命运
COLLECTBLACKZERO_TITLE,不规则体的噩梦
COLLECTBLACKZERO_DISC,解锁黑色装甲。去吧我的杰作，你是最强机器人yyds。
COLLECTWHITEAXL_TITLE,未知的力量
COLLECTWHITEAXL_DISC,解锁白色装甲。无论如何，你还是你……对吧？（意味深长）
COLLECTULTIMATEX_TITLE,为了永恒的和平
COLLECTULTIMATEX_DISC,解锁究极装甲。去吧猎人，你是人类最后的希望，不要辜负。
ZERODEFEATED_DISC,击败觉醒形态的Zero。打自己人是什么鬼。
ZERODEFEATED_TITLE,命运の决战
STAGE_DC,关卡
BOSS_DC,Boss
COMPLETION_DC,通关
NOAHSPARK_STAGE,诺亚公园
NOAHSPARK_NAME,大螃蟹-Y
SUNFLOWER_STAGE,特洛伊基地
SUNFLOWER_NAME,光学向日葵
ANTONION_STAGE,报春花（转转转）
ANTONION_NAME,重力蚂蚁
MANTIS_STAGE,漆黑（伸手不见五指）
MANTIS_NAME,暗黑螳螂
MANOWAR_STAGE,王朝
MANOWAR_NAME,千兆水母
PANDA_STAGE,加速森林
PANDA_NAME,竹林熊猫
TRILOBYTE_STAGE,金属溪谷
TRILOBYTE_NAME,大地三叶虫
YETI_STAGE,中央白色（冻死了）
YETI_NAME,雪崩雪人
ROOSTER_STAGE,地狱（字面意思）
ROOSTER_NAME,烤鸡哥
JAKOB_STAGE,雅各布电梯
GATEWAY_STAGE,通道关（噩梦）
SIGMA_STAGE,西格玛老巢
HERMESHEAD1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
HERMESHEAD2,这次试试头部H吧，不亏的。
HERMESHEAD3,装上这个蓄力速度起飞，再也不用傻等了。
HERMESHEAD4,进胶囊装上吧，X。老爸不会害你的。
HERMESBODY1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
HERMESBODY2,来……试试身体H。
HERMESBODY3,装上后打人回血，越打越有精神。
HERMESBODY4,进胶囊装上吧，X。相信科学。
HERMESARMS1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
HERMESARMS2,来，巴斯特H拿去。
HERMESARMS3,装上后获得散射蓄力攻击。
HERMESARMS4,武器射击不耗弹，蓄力除外。省着点花。
HERMESARMS5,进胶囊装上吧，X。
HERMESLEGS1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
HERMESLEGS2,试试脚部H，你会喜欢的。
HERMESLEGS3,冲刺时无敌，地上空中都一样。莽就完事了。
HERMESLEGS4,进胶囊装上吧，X。
ICARUSHEAD1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
ICARUSHEAD2,给你……头部I。
ICARUSHEAD3,装上后跳到敌人旁边就能造成伤害。蹦蹦跳跳搞输出。
ICARUSHEAD4,进胶囊装上吧，X。
ICARUSBODY1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
ICARUSBODY2,来试试身体I。
ICARUSBODY3,装上后减伤还免疫击退，打不动你的。
ICARUSBODY4,进胶囊装上吧，X。
ICARUSARMS1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
ICARUSARMS2,新部件来了……巴斯特I。
ICARUSARMS3,装上后获得强力激光蓄力。帅就完事了。
ICARUSARMS4,蓄力特殊武器也不耗弹。白嫖多好。
ICARUSARMS5,进胶囊装上吧，X。
ICARUSLEGS1,X……我早就知道迟早有这么一天，所以给你准备了好东西。
ICARUSLEGS2,新部件……脚部I。
ICARUSLEGS3,装上后高跳+双段空中冲刺。飞！
ICARUSLEGS4,进胶囊装上吧，X。
INTRO2-1,这里是X！我到轨道电梯事故现场附近了！
INTRO2-2,到处都是不规则体，这也太夸张了吧！
INTRO2-3,我先杀过去，你们准备好救援机械兽等我信号！
INTRO2-4,收到！
INTRO2-5,西……西格玛……！？这啥情况？
INTRO2-6,为了在事故中保护自己……
INTRO2-7,我们不得不复制了西格玛那个壮汉的身体。
INTRO2-8,我们新世代思考型机器人对所有病毒完全免疫。
INTRO2-9,所以复制西格玛什么的完全没风险啦~
INTRO2-10,你是谁？
INTRO2-11,我是路米奈……
INTRO2-12,电梯和雅各布计划的负责人，打工人一枚。
INTRO2-13,明白了。别动，我叫队友来救——
INTRO3-1,哟呵，又见面了啊，X！
INTRO3-2,Vile？！你怎么又来了！
INTRO3-3,哈哈哈……想和你玩，但我忙着呢……996了解一下。
INTRO3-4,你是通缉犯！站住！放开路米奈！
INTRO3-5,不可能~轨道电梯已经被我们拿下了……
INTRO3-6,你到底想搞什么？！
INTRO3-7,开始了哦X。新世界要诞生了！
INTRO3-8,哈哈哈哈哈哈哈哈哈哈！（邪恶大笑.jpg）
ANTONION1,重力蚂蚁……你曾是个天才科学家的说。怎么了？
ANTONION2,天才科学家？你算哪根葱来评价我？
ANTONION3,我搞研究可不是为了让你这种人夸我。内卷是为了自己。
ANTONION4,该不会……是西格玛让你变不规则的吧？
ANTONION5,不规则？又给我贴标签。你可真够傲慢的哈。
ANTONION6,总之，挡路的统统消灭！
MANOWAR1,千兆水母！
MANOWAR2,把阿贝尔城的电恢复正常！不然要停电了知道吗！
MANOWAR3,…………（已读不回）
MANOWAR4,……我没干坏事……你谁啊？（社恐发作）
MANOWAR5,我是洛克人X。不规则猎人。管事的来了。
MANOWAR6,是西格玛让你变不规则的？
MANOWAR7,我不是不规则体……我知道自己在干什么……（真的吗我不信）
MANOWAR8,我在努力为新世界梦想奋斗……！（画大饼ing）
MANOWAR9,你已经不规则了！我得阻止你！
MANTIS1,哎？不规则猎人怎么跑到这来了？
